Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]"
Nigeria,"NGA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.7","0.7","0.8","0.9","0.9","1","1.1","1.3","1.5","1.8","2.2","2.7","3.4","4.3","5.7","7.4","9.7","12.5","15.7","18.9","21.85","24.4","26.2",""
Nigeria,"NGA","Access to clean fuels and technologies for cooking, rural (% of rural population)","EG.CFT.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.2","0.2","0.3","0.3","0.4","0.4","0.5","0.6","0.7","0.8","1","1.3","1.7","2.1","2.7","3.4","4.2","5.3","6.5","7.6","8.7","9.7",""
Nigeria,"NGA","Access to clean fuels and technologies for cooking, urban (% of urban population)","EG.CFT.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.6","1.7","1.8","1.9","2","2.1","2.3","2.5","2.8","3.2","3.8","4.5","5.5","6.9","8.8","11.4","14.9","19.5","25.2","31.4","37.2","42.4","46.2","48.7",""
Nigeria,"NGA","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.3","35.2346000671387","36.0994606018066","36.9636459350586","37.8264694213867","38.6872520446777","39.5453186035156","40.3999824523926","41.2505683898926","44.9","43.2","43.9","44.6","52.2","46.1","46.8","47.6","50.1","50.3","50","48","55.9","53","55.6","54.2","52.5","59.3","54.4","56.5","55.4","55.4","59.5","60.5","61.2",""
Nigeria,"NGA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.04391372536075","14.2529109017222","14.9700471628511","15.6931901780981","16.4231206189389","17.1597683755411","17.9032057830542","18.6585470745314","19.4251489051188","24.3267900721401","21.5","21.8","22.1","32.7","22.8","23.1","23.5","25.3","25.6","24.6","23.5","31","27","31.6","27.1","25.9","34","22.6","31","25.5","24.6","26.3","27","32.9",""
Nigeria,"NGA","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.4","83.7839584350586","83.8470993041992","83.9070816040039","83.9607467651367","84.0049285888672","84.0364761352539","84.0522232055664","84.0490188598633","84.3","83.8","83.8","83.8","84.9","83.8","83.8","83.9","86.2","84.8","84.1","79.8","87.1","84.5","83.6","84.7","81.5","86","86.8","81.7","83.9","83.9","89.2","89","85",""
Nigeria,"NGA","Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)","FX.OWN.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6675376842052","","","44.4419846566021","","","39.6668586884669","","","","45.3166327186278","","","63.2613514491542"
Nigeria,"NGA","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","FX.OWN.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9904013803634","","","34.0223963700315","","","27.2766783028412","","","","34.9640811024201","","","52.2155914465012"
Nigeria,"NGA","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","FX.OWN.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.2768925034846","","","54.3624813953471","","","51.4073357721221","","","","55.4526241322263","","","74.302879584059"
Nigeria,"NGA","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","FX.OWN.TOTL.OL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.808553167985","","","48.8837884582817","","","43.3606657121079","","","","50.7884878596083","","","73.6886247105236"
