Indicator,Category,Country,Notes,Source,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
Total Exports,Trade Volume,Nigeria,Quarterly goods/services USD billions,World Bank,14.8,15.1,15.4,15.9,16.8,17.0,17.3,17.4,11.2,10.5,11.3,12.3,13.9,14.5,15.1,15.2,15.9,16.2,16.5,16.8,17.0,17.3,17.6,17.9,17.8,18.0,18.1,18.2
Total Exports,Trade Volume,Kenya,Quarterly goods/services USD billions,World Bank,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7,1.5,1.4,1.5,1.7,1.7,1.8,1.8,1.9,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.2,2.2,2.3
Total Exports,Trade Volume,South Africa,Quarterly goods/services USD billions,World Bank,23.2,23.4,23.6,24.1,22.3,22.5,22.5,22.8,21.0,20.2,21.3,23.2,29.5,30.5,31.2,32.0,26.5,27.0,27.3,27.7,27.0,27.4,27.7,28.1,27.8,28.1,28.3,28.6
Total Exports,Trade Volume,Egypt,Quarterly goods/services USD billions,World Bank,7.1,7.2,7.3,7.6,7.1,7.2,7.2,7.4,6.7,6.4,6.8,7.4,10.5,10.8,11.1,11.5,12.5,12.7,12.9,13.1,12.8,13.0,13.1,13.4,13.2,13.4,13.5,13.7
Total Imports,Trade Volume,Nigeria,Quarterly goods/services USD billions,World Bank,12.8,13.0,13.2,13.8,14.2,14.5,14.7,14.9,12.1,11.5,12.3,13.2,12.9,13.4,13.8,14.1,15.2,15.5,15.7,15.9,16.5,16.8,17.1,17.4,17.3,17.5,17.7,18.0
Total Imports,Trade Volume,Kenya,Quarterly goods/services USD billions,World Bank,4.2,4.3,4.3,4.5,4.4,4.5,4.5,4.5,4.1,3.9,4.2,4.6,4.4,4.6,4.7,4.8,4.9,5.0,5.1,5.1,5.2,5.3,5.4,5.5,5.5,5.5,5.6,5.7
Total Imports,Trade Volume,South Africa,Quarterly goods/services USD billions,World Bank,22.5,22.7,22.9,23.4,21.8,22.0,22.1,22.3,19.5,18.6,20.0,21.2,23.4,24.3,24.9,25.2,26.8,27.2,27.5,28.0,28.2,28.6,28.9,29.6,29.4,29.8,30.1,30.4
Total Imports,Trade Volume,Egypt,Quarterly goods/services USD billions,World Bank,18.4,18.6,18.8,19.4,17.7,17.9,18.0,18.2,15.7,15.0,15.9,17.3,17.8,18.4,18.9,19.2,20.0,20.4,20.7,21.0,20.8,21.2,21.5,21.9,21.8,22.1,22.3,22.7
Trade Balance,Trade Performance,Nigeria,Quarterly exports minus imports USD billions,World Bank,2.0,2.1,2.2,2.1,2.6,2.5,2.6,2.5,-0.9,-1.0,-1.0,-0.9,1.0,1.1,1.3,1.1,0.7,0.7,0.8,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.2
Trade Balance,Trade Performance,Kenya,Quarterly exports minus imports USD billions,World Bank,-2.7,-2.8,-2.7,-2.9,-2.8,-2.9,-2.9,-2.8,-2.6,-2.5,-2.7,-2.9,-2.7,-2.8,-2.9,-2.9,-3.0,-3.1,-3.1,-3.1,-3.2,-3.2,-3.3,-3.4,-3.3,-3.3,-3.4,-3.4
Trade Balance,Trade Performance,South Africa,Quarterly exports minus imports USD billions,World Bank,0.7,0.7,0.7,0.7,0.5,0.5,0.4,0.5,1.5,1.6,1.3,2.0,6.1,6.2,6.3,6.8,-0.3,-0.2,-0.2,-0.3,-1.2,-1.2,-1.2,-1.5,-1.6,-1.7,-1.8,-1.8
Trade Balance,Trade Performance,Egypt,Quarterly exports minus imports USD billions,World Bank,-11.3,-11.4,-11.5,-11.8,-10.6,-10.7,-10.8,-10.8,-9.0,-8.6,-9.1,-9.9,-7.3,-7.6,-7.8,-7.7,-7.5,-7.7,-7.8,-7.9,-8.0,-8.2,-8.4,-8.5,-8.6,-8.7,-8.8,-9.0
Export Growth Rate,Trade Performance,Nigeria,Quarterly YoY percentage change,IMF,11.0,11.2,11.3,11.4,12.0,11.9,11.8,11.6,-33.5,-34.2,-34.5,-34.0,24.1,27.5,30.5,32.8,10.2,11.5,11.8,12.0,6.5,6.7,6.8,6.9,3.2,3.3,3.4,3.4
Export Growth Rate,Trade Performance,Kenya,Quarterly YoY percentage change,IMF,5.1,5.2,5.3,5.2,4.7,4.8,4.9,4.8,-6.0,-6.2,-6.3,-6.2,17.5,18.0,18.3,18.0,8.0,8.2,8.4,8.5,6.2,6.3,6.5,6.6,7.0,7.1,7.2,7.3
Export Growth Rate,Trade Performance,South Africa,Quarterly YoY percentage change,IMF,2.0,2.1,2.2,2.1,-4.3,-4.5,-4.6,-4.5,-4.7,-4.8,-4.9,-5.0,42.5,43.5,44.0,44.5,-11.5,-11.8,-12.0,-12.0,1.5,1.6,1.6,1.7,2.3,2.4,2.4,2.5
Export Growth Rate,Trade Performance,Egypt,Quarterly YoY percentage change,IMF,8.2,8.3,8.4,8.3,-0.9,-1.0,-1.1,-1.0,-5.4,-5.5,-5.6,-5.5,59.5,60.5,61.0,61.5,16.2,16.5,16.7,16.8,2.0,2.1,2.2,2.2,2.8,2.9,2.9,3.0
Manufacturing Exports,Sectoral Trade,Nigeria,Quarterly manufacturing USD billions,UNCTAD,1.2,1.3,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.9,1.7,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,2.0,2.0,2.0
Manufacturing Exports,Sectoral Trade,Kenya,Quarterly manufacturing USD billions,UNCTAD,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6
Manufacturing Exports,Sectoral Trade,South Africa,Quarterly manufacturing USD billions,UNCTAD,12.8,13.0,13.1,13.4,12.3,12.4,12.5,12.6,11.3,10.9,11.5,12.5,14.2,14.6,14.9,15.2,13.2,13.4,13.6,13.8,13.6,13.8,14.0,14.2,14.0,14.2,14.4,14.6
Manufacturing Exports,Sectoral Trade,Egypt,Quarterly manufacturing USD billions,UNCTAD,3.0,3.1,3.1,3.2,3.0,3.0,3.0,3.1,2.8,2.7,2.9,3.1,3.7,3.8,3.8,3.9,4.3,4.4,4.5,4.6,4.5,4.6,4.6,4.8,4.7,4.8,4.8,4.8
Agricultural Exports,Sectoral Trade,Nigeria,Quarterly agricultural USD billions,UNCTAD,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0
Agricultural Exports,Sectoral Trade,Kenya,Quarterly agricultural USD billions,UNCTAD,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.1
Agricultural Exports,Sectoral Trade,South Africa,Quarterly agricultural USD billions,UNCTAD,2.4,2.4,2.5,2.5,2.3,2.4,2.4,2.4,2.2,2.1,2.3,2.5,3.0,3.1,3.1,3.2,2.9,2.9,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.2,3.2
Agricultural Exports,Sectoral Trade,Egypt,Quarterly agricultural USD billions,UNCTAD,1.0,1.0,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.7
