Indicator,Category,Country,Notes,Source,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
GDP Growth Rate,Economic,Nigeria,Quarterly percentage growth,World Bank,1.8,1.9,2.0,1.9,2.1,2.2,2.3,2.2,1.2,-4.2,-3.1,-0.5,2.5,3.8,4.2,3.9,3.1,3.3,3.4,3.4,2.7,2.9,3.0,3.0,3.0,3.2,3.3,3.3
GDP Growth Rate,Economic,Kenya,Quarterly percentage growth,World Bank,5.5,5.6,5.8,5.9,5.3,5.4,5.5,5.4,5.6,3.8,5.4,6.4,6.9,7.6,7.8,7.7,5.2,5.3,5.5,5.6,5.4,5.6,5.7,5.7,5.1,5.3,5.4,5.4
GDP Growth Rate,Economic,South Africa,Quarterly percentage growth,World Bank,1.4,1.5,1.6,1.5,0.3,0.2,0.1,0.2,-2.1,-8.5,-8.9,-5.7,2.1,5.2,6.3,6.0,1.7,1.9,2.0,2.0,0.6,0.7,0.8,0.7,0.8,0.9,1.0,0.9
GDP Growth Rate,Economic,Egypt,Quarterly percentage growth,World Bank,5.2,5.3,5.4,5.3,5.5,5.6,5.7,5.6,4.2,2.5,3.1,4.6,2.8,3.1,3.5,3.8,6.2,6.6,6.8,6.8,3.5,3.7,3.9,4.0,3.3,3.5,3.6,3.6
Inflation Rate,Economic,Nigeria,Quarterly consumer price index,IMF,11.9,12.0,12.2,12.3,11.2,11.3,11.5,11.6,12.8,12.9,13.4,13.7,16.5,17.0,17.3,17.2,18.4,18.7,19.0,19.1,23.8,24.5,24.9,24.8,28.9,29.8,30.2,30.5
Inflation Rate,Economic,Kenya,Quarterly consumer price index,IMF,4.6,4.7,4.8,4.7,5.1,5.2,5.3,5.2,5.3,5.4,5.5,5.4,6.0,6.1,6.2,6.1,7.5,7.6,7.8,7.9,7.6,7.7,7.8,7.7,6.4,6.5,6.7,6.8
Inflation Rate,Economic,South Africa,Quarterly consumer price index,IMF,4.5,4.6,4.7,4.6,4.0,4.1,4.2,4.1,3.2,3.3,3.4,3.3,4.3,4.5,4.6,4.6,6.7,6.9,7.0,7.0,5.9,6.0,6.2,6.3,5.1,5.2,5.4,5.4
Inflation Rate,Economic,Egypt,Quarterly consumer price index,IMF,20.5,20.8,21.1,21.2,13.5,13.8,14.1,14.2,5.5,5.6,5.8,5.9,4.3,4.5,4.6,4.6,8.2,8.4,8.6,8.7,32.9,33.8,34.2,34.5,25.0,25.5,25.9,26.4
Unemployment Rate,Labor,Nigeria,Quarterly percentage of labor force,ILO,22.9,23.0,23.2,23.3,23.2,23.4,23.5,23.5,26.5,27.0,27.3,27.5,31.8,32.5,32.9,32.8,32.9,33.2,33.4,33.5,5.1,5.2,5.3,5.4,4.9,5.0,5.1,5.0
Unemployment Rate,Labor,Kenya,Quarterly percentage of labor force,ILO,9.2,9.3,9.3,9.4,5.6,5.7,5.7,5.8,5.5,5.6,5.6,5.7,5.6,5.7,5.7,5.8,5.7,5.8,5.8,5.9,5.5,5.6,5.6,5.7,5.3,5.4,5.4,5.5
